country,year,refugees,region
Afghanistan,2003,2136043,Middle East
Burundi,2003,531637,Central Africa
Congo DRC,2003,453465,Central Africa
Iraq,2003,368580,Middle East
Myanmar,2003,151384,Southeast Asia
Palestine,2003,350568,Middle East
Somalia,2003,402336,Horn of Africa
Sudan,2003,606242,Central Africa
Syria,2003,20819,Middle East
Vietnam,2003,363179,Southeast Asia
Afghanistan,2004,2084109,Middle East
Burundi,2004,485454,Central Africa
Congo DRC,2004,461042,Central Africa
Iraq,2004,311905,Middle East
Myanmar,2004,161013,Southeast Asia
Palestine,2004,350617,Middle East
Somalia,2004,389304,Horn of Africa
Sudan,2004,730647,Central Africa
Syria,2004,21440,Middle East
Vietnam,2004,349809,Southeast Asia
Afghanistan,2005,2166149,Middle East
Burundi,2005,438706,Central Africa
Congo DRC,2005,430929,Central Africa
Iraq,2005,262299,Middle East
Myanmar,2005,164864,Southeast Asia
Palestine,2005,349673,Middle East
Somalia,2005,395553,Horn of Africa
Sudan,2005,693632,Central Africa
Syria,2005,16401,Middle East
Vietnam,2005,358268,Southeast Asia
Afghanistan,2006,2107519,Middle East
Burundi,2006,396541,Central Africa
Congo DRC,2006,401914,Central Africa
Iraq,2006,1450905,Middle East
Myanmar,2006,202826,Southeast Asia
Palestine,2006,334142,Middle East
Somalia,2006,464252,Horn of Africa
Sudan,2006,686311,Central Africa
Syria,2006,12338,Middle East
Vietnam,2006,374279,Southeast Asia
Afghanistan,2007,1909911,Middle East
Burundi,2007,375715,Central Africa
Congo DRC,2007,370386,Central Africa
Iraq,2007,2279245,Middle East
Myanmar,2007,191256,Southeast Asia
Palestine,2007,335219,Middle East
Somalia,2007,455356,Horn of Africa
Sudan,2007,523032,Central Africa
Syria,2007,13671,Middle East
Vietnam,2007,327776,Southeast Asia
Afghanistan,2008,1817913,Middle East
Burundi,2008,281592,Central Africa
Congo DRC,2008,367995,Central Africa
Iraq,2008,1873519,Middle East
Myanmar,2008,184347,Southeast Asia
Palestine,2008,333990,Middle East
Somalia,2008,559153,Horn of Africa
Sudan,2008,397013,Central Africa
Syria,2008,15186,Middle East
Vietnam,2008,328183,Southeast Asia
Afghanistan,2009,1905804,Middle East
Burundi,2009,94239,Central Africa
Congo DRC,2009,455852,Central Africa
Iraq,2009,1785212,Middle East
Myanmar,2009,206650,Southeast Asia
Palestine,2009,95177,Middle East
Somalia,2009,678308,Horn of Africa
Sudan,2009,348500,Central Africa
Syria,2009,17884,Middle East
Vietnam,2009,339289,Southeast Asia
Afghanistan,2010,3054709,Middle East
Burundi,2010,84064,Central Africa
Congo DRC,2010,476693,Central Africa
Iraq,2010,1683575,Middle East
Myanmar,2010,215644,Southeast Asia
Palestine,2010,93299,Middle East
Somalia,2010,770148,Horn of Africa
Sudan,2010,379067,Central Africa
Syria,2010,18428,Middle East
Vietnam,2010,338698,Southeast Asia
Afghanistan,2011,2664436,Middle East
Burundi,2011,101288,Central Africa
Congo DRC,2011,491481,Central Africa
Iraq,2011,1428308,Middle East
Myanmar,2011,214594,Southeast Asia
Palestine,2011,94121,Middle East
Somalia,2011,1075148,Horn of Africa
Sudan,2011,491013,Central Africa
Syria,2011,19900,Middle East
Vietnam,2011,337829,Southeast Asia
Afghanistan,2012,2586034,Middle East
Burundi,2012,73362,Central Africa
Congo DRC,2012,509082,Central Africa
Iraq,2012,746181,Middle East
Myanmar,2012,215338,Southeast Asia
Palestine,2012,94820,Middle East
Somalia,2012,1136713,Horn of Africa
Sudan,2012,558195,Central Africa
Syria,2012,728603,Middle East
Vietnam,2012,336939,Southeast Asia
Afghanistan,2013,2556507,Middle East
Burundi,2013,72652,Central Africa
Congo DRC,2013,499320,Central Africa
Iraq,2013,401384,Middle East
Myanmar,2013,222053,Southeast Asia
Palestine,2013,96044,Middle East
Somalia,2013,1121772,Horn of Africa
Sudan,2013,636400,Central Africa
Syria,2013,2457255,Middle East
Vietnam,2013,314105,Southeast Asia
