Date,avg_temp
2013-01-01,19.216666666666665
2013-01-02,18.40625
2013-01-03,25.520833333333332
2013-01-04,33.139583333333334
2013-01-05,23.3625
2013-01-06,20.75208333333333
2013-01-07,22.77916666666667
2013-01-08,21.610416666666666
2013-01-09,16.639583333333334
2013-01-10,19.658333333333335
2013-01-11,25.05625
2013-01-12,19.49375
2013-01-13,17.547916666666666
2013-01-14,17.370833333333334
2013-01-15,19.708333333333332
2013-01-16,20.152083333333334
2013-01-17,28.239583333333332
2013-01-18,24.102083333333333
2013-01-19,18.9625
2013-01-20,19.2875
2013-01-21,20.458333333333332
2013-01-22,20.525
2013-01-23,20.01875
2013-01-24,25.66875
2013-01-25,23.808333333333334
2013-01-26,18.070833333333333
2013-01-27,19.23125
2013-01-28,19.641666666666666
2013-01-29,17.4625
2013-01-30,20.133333333333333
2013-01-31,18.44375
2013-02-01,16.127083333333335
2013-02-02,17.733333333333334
2013-02-03,19.639583333333334
2013-02-04,19.008333333333333
2013-02-05,21.322916666666668
2013-02-06,26.847916666666666
2013-02-07,23.772916666666667
2013-02-08,22.391666666666666
2013-02-09,21.929166666666667
2013-02-10,18.897916666666667
2013-02-11,20.320833333333333
2013-02-12,20.45
2013-02-13,23.45
2013-02-14,25.320833333333333
2013-02-15,25.03125
2013-02-16,26.93125
2013-02-17,27.810416666666665
2013-02-18,28.935416666666665
2013-02-19,21.277083333333334
2013-02-20,20.53333333333333
2013-02-21,23.222916666666666
2013-02-22,25.375
2013-02-23,25.541666666666668
2013-02-24,26.766666666666666
2013-02-25,24.352083333333333
2013-02-26,21.641666666666666
2013-02-27,21.895833333333332
2013-02-28,17.2875
2013-03-01,18.725
2013-03-02,19.908333333333335
2013-03-03,20.697916666666668
2013-03-04,23.691666666666666
2013-03-05,25.46875
2013-03-06,26.522916666666667
2013-03-07,27.4875
2013-03-08,26.608333333333334
2013-03-09,29.39375
2013-03-10,27.26875
2013-03-11,28.133333333333333
2013-03-12,30.14375
2013-03-13,24.595833333333335
2013-03-14,19.329166666666666
2013-03-15,19.995833333333334
2013-03-16,17.345833333333335
2013-03-17,15.2875
2013-03-18,16.522916666666667
2013-03-19,17.558333333333334
2013-03-20,21.241666666666667
2013-03-21,21.785416666666666
2013-03-22,17.827083333333334
2013-03-23,19.1625
2013-03-24,20.470833333333335
2013-03-25,18.95
2013-03-26,23.458333333333332
2013-03-27,27.120833333333334
2013-03-28,16.84375
2013-03-29,14.639583333333334
2013-03-30,17.047916666666666
2013-03-31,16.289583333333333
